Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
A1BG	3	0.057472	0.63032	0.64	0.99645	0.52849	1
A1CF	3	0.0063629	0.03914	0.98599	0.99967	0.96878	1
A2M	3	-0.2786	-1.9613	0.018014	0.48806	0.04985	1
A2ML1	3	0.089829	0.78144	0.43951	0.99645	0.43454	1
A3GALT2	3	-0.009431	-0.066211	0.86767	0.99931	0.94721	1
A4GALT	3	0.11828	0.60128	0.29918	0.97726	0.54765	1
A4GNT	3	0.0057054	0.053026	0.98087	0.99967	0.95771	1
AAAS	3	0.085004	0.67758	0.46542	0.99645	0.49804	1
AACS	3	-0.068558	-0.43393	0.47359	0.99645	0.66434	1
AADAC	3	0.088738	0.62127	0.44557	0.99645	0.53442	1
AADACL2	3	-0.14799	-0.82364	0.15901	0.89711	0.41014	1
AADACL3	3	-0.024211	-0.16697	0.76042	0.99796	0.86739	1
AADACL4	3	0.035378	0.42089	0.79779	0.99889	0.67384	1
AADAT	3	0.090298	0.48025	0.43773	0.99645	0.63105	1
AAED1	3	-0.013574	-0.081243	0.83493	0.99889	0.93525	1
AAGAB	3	0.18202	1.0908	0.10992	0.83523	0.27537	1
AAK1	3	0.10214	0.4409	0.37385	0.99145	0.65928	1
AAMDC	3	-0.087163	-0.59775	0.37768	0.99226	0.55001	1
AAMP	3	-0.22649	-1.2695	0.044201	0.66085	0.20425	1
AANAT	3	-0.019446	-0.18322	0.79462	0.99889	0.85463	1
AAR2	3	-0.026923	-0.22403	0.74008	0.99687	0.82274	1
AARD	3	0.037837	0.1973	0.77933	0.99889	0.84359	1
AARS	3	0.083053	0.35621	0.4767	0.99645	0.72168	1
AARS2	3	-0.12502	-0.5344	0.22395	0.94156	0.59306	1
AARSD1	3	-0.044034	-0.2664	0.62115	0.99645	0.78993	1
AASDH	3	-0.018949	-0.1473	0.79795	0.99889	0.8829	1
AASDHPPT	3	-0.039013	-0.32973	0.65584	0.99645	0.7416	1
AASS	3	0.06265	0.60746	0.60686	0.99645	0.54354	1
AATF	3	0.23267	0.75321	0.043589	0.65635	0.45132	1
AATK	3	0.015048	0.10881	0.94707	0.99931	0.91335	1
ABAT	3	-0.060712	-0.57029	0.51857	0.99645	0.56848	1
ABCA1	3	-0.084744	-0.66016	0.38808	0.99529	0.50915	1
ABCA10	3	0.087332	0.73856	0.45285	0.99645	0.46017	1
ABCA12	3	-0.23899	-1.1132	0.036084	0.61833	0.26561	1
ABCA13	3	-0.17132	-1.1758	0.11064	0.83655	0.23969	1
ABCA2	3	0.050513	0.49792	0.68831	0.99645	0.61854	1
ABCA3	3	-0.030508	-0.24644	0.71517	0.99645	0.80534	1
ABCA4	3	0.043984	0.32843	0.73251	0.99687	0.74258	1
ABCA5	3	0.0048442	0.028678	0.97381	0.99943	0.97712	1
ABCA6	3	-0.030399	-0.14988	0.71606	0.99645	0.88086	1
ABCA7	3	0.003097	0.027617	0.95991	0.99931	0.97797	1
ABCA8	3	-0.084289	-0.67891	0.39047	0.99631	0.49719	1
ABCA9	3	0.047073	0.26213	0.71166	0.99645	0.79322	1
ABCB1	3	0.047756	0.27461	0.70644	0.99645	0.78362	1
ABCB10	3	0.0034233	0.042142	0.96208	0.99931	0.96639	1
ABCB11	3	0.14374	0.68425	0.20522	0.9357	0.49382	1
ABCB4	3	0.011028	0.071595	0.9772	0.99967	0.94292	1
ABCB5	3	-0.048413	-0.28557	0.59452	0.99645	0.7752	1
ABCB6	3	0.060308	0.43312	0.62226	0.99645	0.66493	1
ABCB7	3	-0.35575	-1.0851	0.0048927	0.27245	0.27789	1
ABCB8	3	-0.017529	-0.17097	0.80779	0.99889	0.86424	1
ABCB9	3	-0.07625	-0.61447	0.43239	0.99645	0.5389	1
ABCC1	3	0.22241	1.2949	0.051484	0.70038	0.19536	1
ABCC10	3	-0.1833	-1.196	0.091015	0.80228	0.23168	1
ABCC11	3	0.19723	2.1392	0.083732	0.78663	0.032422	1
ABCC12	3	0.028248	0.31132	0.8481	0.99889	0.75556	1
ABCC2	3	0.17202	0.83762	0.13027	0.85997	0.40224	1
ABCC3	3	0.047338	0.5127	0.70961	0.99645	0.60816	1
ABCC4	3	0.027574	0.22607	0.85277	0.99902	0.82115	1
ABCC5	3	-0.0046296	-0.038458	0.90326	0.99931	0.96932	1
ABCC6	3	-0.24095	-0.78251	0.034694	0.6166	0.43391	1
ABCC8	3	0.006331	0.047039	0.98577	0.99967	0.96248	1
ABCC9	3	0.18498	1.5787	0.1038	0.82335	0.11441	1
ABCD1	3	-0.076883	-0.92839	0.42856	0.99645	0.3532	1
ABCD2	3	-0.094135	-0.85426	0.34599	0.98325	0.39296	1
ABCD3	3	0.035409	0.35118	0.79751	0.99889	0.72545	1
ABCD4	3	-0.24904	-2.5524	0.029857	0.596	0.010698	1
ABCE1	3	0.071611	0.20467	0.54909	0.99645	0.83783	1
ABCF1	3	-0.20512	-0.70167	0.064161	0.7426	0.48289	1
ABCF2	3	0.13589	0.82059	0.23046	0.94982	0.41188	1
ABCF3	3	0.21629	1.7659	0.058712	0.72727	0.077415	1
ABCG1	3	-0.044077	-0.40789	0.62098	0.99645	0.68336	1
ABCG2	3	0.018848	0.11405	0.91988	0.99931	0.9092	1
ABCG4	3	0.061806	0.34607	0.6127	0.99645	0.72929	1
ABCG5	3	-0.11138	-0.86481	0.27249	0.9658	0.38714	1
ABCG8	3	0.34509	2.4839	0.0058935	0.30548	0.012994	1
ABHD1	3	0.082807	0.64305	0.47804	0.99645	0.52019	1
ABHD10	3	-0.0030271	-0.02101	0.91477	0.99931	0.98324	1
ABHD11	3	-0.08214	-0.48936	0.40276	0.99645	0.62459	1
ABHD12	3	0.019508	0.19276	0.9141	0.99931	0.84715	1
ABHD12B	3	-0.13634	-0.96068	0.18809	0.91165	0.33671	1
ABHD13	3	0.20943	1.389	0.06683	0.74644	0.16484	1
ABHD14A	3	0.029074	0.23671	0.84182	0.99889	0.81288	1
ABHD14B	3	0.080098	0.79966	0.496	0.99645	0.42391	1
ABHD15	3	-0.0014079	-0.012113	0.92566	0.99931	0.99034	1
ABHD16A	3	-0.028812	-0.28438	0.72695	0.99687	0.77612	1
ABHD16B	3	0.057939	0.48592	0.63683	0.99645	0.62702	1
ABHD17A	3	0.21696	1.242	0.0576	0.71944	0.21423	1
ABHD17B	3	-0.13682	-0.87317	0.18665	0.91165	0.38257	1
ABHD17C	3	-0.0064148	-0.05572	0.88969	0.99931	0.95556	1
ABHD2	3	0.04907	0.27166	0.69654	0.99645	0.78589	1
ABHD3	3	0.0047398	0.041408	0.97287	0.99943	0.96697	1
ABHD4	3	-0.058674	-0.28032	0.5313	0.99645	0.77923	1
ABHD5	3	-0.002065	-0.011043	0.92166	0.99931	0.99119	1
ABHD6	3	0.038011	0.38252	0.77766	0.99889	0.70207	1
ABHD8	3	0.25997	2.1605	0.027688	0.57706	0.030737	1
ABI1	3	0.20048	1.757	0.078672	0.77534	0.07891	1
ABI2	3	0.0090547	0.062764	0.99144	0.99967	0.94995	1
ABI3	3	-0.12106	-1.2115	0.23802	0.95705	0.22569	1
ABI3BP	3	-0.098933	-0.71606	0.32409	0.97726	0.47395	1
ABL1	3	-1.0447	-1.6807	0	0	0.09282	1
ABL2	3	-0.027487	-0.28582	0.73635	0.99687	0.77501	1
ABLIM1	3	0.0041019	0.018534	0.96731	0.99931	0.98521	1
ABLIM2	3	-0.13991	-1.1978	0.17847	0.91165	0.23101	1
ABLIM3	3	-0.15828	-0.88435	0.13705	0.87425	0.37651	1
ABR	3	0.12965	0.92346	0.25181	0.95812	0.35577	1
ABRA	3	0.023953	0.21973	0.87996	0.99931	0.82608	1
ABRACL	3	-0.11302	-0.57034	0.2656	0.96152	0.56845	1
ABT1	3	0.22093	0.6476	0.052763	0.70354	0.51724	1
ABTB1	3	-0.1005	-0.66021	0.31791	0.97726	0.50912	1
ABTB2	3	-0.18299	-2.1888	0.091627	0.80228	0.028614	1
ACAA1	3	-0.036374	-0.17011	0.6748	0.99645	0.86492	1
ACAA2	3	0.0091352	0.070238	0.99094	0.99967	0.944	1
ACACA	3	0.061034	0.19472	0.61809	0.99645	0.84561	1
ACACB	3	0.14768	1.0828	0.19209	0.91506	0.27888	1
ACAD10	3	-0.048748	-0.36971	0.59224	0.99645	0.7116	1
ACAD11	3	0.059697	0.58616	0.62643	0.99645	0.55777	1
ACAD8	3	-0.14319	-1.6194	0.17008	0.90879	0.10536	1
ACAD9	3	0.011361	0.043403	0.97465	0.99943	0.96538	1
ACADL	3	0.075449	0.61151	0.52496	0.99645	0.54086	1
ACADM	3	-0.028156	-0.22605	0.73107	0.99687	0.82117	1
ACADS	3	0.065972	0.52443	0.58557	0.99645	0.59998	1
ACADSB	3	0.1702	0.7122	0.13394	0.86499	0.47634	1
ACADVL	3	-0.01867	-0.19181	0.79979	0.99889	0.84789	1
ACAN	3	-0.0034109	-0.024949	0.91182	0.99931	0.9801	1
ACAP1	3	0.20962	1.9424	0.066552	0.74644	0.052084	1
ACAP2	3	0.1633	1.206	0.15051	0.88958	0.22781	1
ACAP3	3	-0.035448	-0.24226	0.68175	0.99645	0.80858	1
ACAT1	3	-0.082735	-0.43157	0.39859	0.99645	0.66605	1
ACAT2	3	-0.15862	-1.2747	0.1365	0.87425	0.20241	1
ACBD3	3	-0.10542	-0.72143	0.29645	0.97621	0.47064	1
ACBD4	3	-0.059581	-0.47314	0.5258	0.99645	0.63612	1
ACBD5	3	0.20186	1.4414	0.076726	0.7717	0.14946	1
ACBD6	3	0.10799	0.95771	0.3436	0.983	0.33821	1
