Gene	beta	fdr	dataset	hit
A1BG	0.057472	0.99645	top3	NOT
A1CF	0.0063629	0.99967	top3	NOT
A2M	-0.2786	0.48806	top3	NOT
A2ML1	0.089829	0.99645	top3	NOT
A3GALT2	-0.009431	0.99931	top3	NOT
A4GALT	0.11828	0.97726	top3	NOT
A4GNT	0.0057054	0.99967	top3	NOT
AAAS	0.085004	0.99645	top3	NOT
AACS	-0.068558	0.99645	top3	NOT
AADAC	0.088738	0.99645	top3	NOT
AADACL2	-0.14799	0.89711	top3	NOT
AADACL3	-0.024211	0.99796	top3	NOT
AADACL4	0.035378	0.99889	top3	NOT
AADAT	0.090298	0.99645	top3	NOT
AAED1	-0.013574	0.99889	top3	NOT
AAGAB	0.18202	0.83523	top3	NOT
AAK1	0.10214	0.99145	top3	NOT
AAMDC	-0.087163	0.99226	top3	NOT
AAMP	-0.22649	0.66085	top3	NOT
AANAT	-0.019446	0.99889	top3	NOT
AAR2	-0.026923	0.99687	top3	NOT
AARD	0.037837	0.99889	top3	NOT
AARS	0.083053	0.99645	top3	NOT
AARS2	-0.12502	0.94156	top3	NOT
AARSD1	-0.044034	0.99645	top3	NOT
AASDH	-0.018949	0.99889	top3	NOT
AASDHPPT	-0.039013	0.99645	top3	NOT
AASS	0.06265	0.99645	top3	NOT
AATF	0.23267	0.65635	top3	NOT
AATK	0.015048	0.99931	top3	NOT
ABAT	-0.060712	0.99645	top3	NOT
ABCA1	-0.084744	0.99529	top3	NOT
ABCA10	0.087332	0.99645	top3	NOT
ABCA12	-0.23899	0.61833	top3	NOT
ABCA13	-0.17132	0.83655	top3	NOT
ABCA2	0.050513	0.99645	top3	NOT
ABCA3	-0.030508	0.99645	top3	NOT
ABCA4	0.043984	0.99687	top3	NOT
ABCA5	0.0048442	0.99943	top3	NOT
ABCA6	-0.030399	0.99645	top3	NOT
ABCA7	0.003097	0.99931	top3	NOT
ABCA8	-0.084289	0.99631	top3	NOT
ABCA9	0.047073	0.99645	top3	NOT
ABCB1	0.047756	0.99645	top3	NOT
ABCB10	0.0034233	0.99931	top3	NOT
ABCB11	0.14374	0.9357	top3	NOT
ABCB4	0.011028	0.99967	top3	NOT
ABCB5	-0.048413	0.99645	top3	NOT
ABCB6	0.060308	0.99645	top3	NOT
ABCB7	-0.35575	0.27245	top3	NOT
ABCB8	-0.017529	0.99889	top3	NOT
ABCB9	-0.07625	0.99645	top3	NOT
ABCC1	0.22241	0.70038	top3	NOT
ABCC10	-0.1833	0.80228	top3	NOT
ABCC11	0.19723	0.78663	top3	NOT
ABCC12	0.028248	0.99889	top3	NOT
ABCC2	0.17202	0.85997	top3	NOT
ABCC3	0.047338	0.99645	top3	NOT
ABCC4	0.027574	0.99902	top3	NOT
ABCC5	-0.0046296	0.99931	top3	NOT
ABCC6	-0.24095	0.6166	top3	NOT
ABCC8	0.006331	0.99967	top3	NOT
ABCC9	0.18498	0.82335	top3	NOT
ABCD1	-0.076883	0.99645	top3	NOT
ABCD2	-0.094135	0.98325	top3	NOT
ABCD3	0.035409	0.99889	top3	NOT
ABCD4	-0.24904	0.596	top3	NOT
ABCE1	0.071611	0.99645	top3	NOT
