Gene	beta	fdr	dataset	hit	UP	DOWN
A1BG	0.057472	0.99645	top3	NOT	0	0
A1CF	0.0063629	0.99967	top3	NOT	0	0
A2M	-0.2786	0.48806	top3	NOT	0	0
A2ML1	0.089829	0.99645	top3	NOT	0	0
A3GALT2	-0.009431	0.99931	top3	NOT	0	0
A4GALT	0.11828	0.97726	top3	NOT	0	0
A4GNT	0.0057054	0.99967	top3	NOT	0	0
AAAS	0.085004	0.99645	top3	NOT	0	0
AACS	-0.068558	0.99645	top3	NOT	0	0
AADAC	0.088738	0.99645	top3	NOT	0	0
AADACL2	-0.14799	0.89711	top3	NOT	0	0
AADACL3	-0.024211	0.99796	top3	NOT	0	0
AADACL4	0.035378	0.99889	top3	NOT	0	0
AADAT	0.090298	0.99645	top3	NOT	0	0
AAED1	-0.013574	0.99889	top3	NOT	0	0
AAGAB	0.18202	0.83523	top3	NOT	0	0
AAK1	0.10214	0.99145	top3	NOT	0	0
AAMDC	-0.087163	0.99226	top3	NOT	0	0
AAMP	-0.22649	0.66085	top3	NOT	0	0
AANAT	-0.019446	0.99889	top3	NOT	0	0
AAR2	-0.026923	0.99687	top3	NOT	0	0
AARD	0.037837	0.99889	top3	NOT	0	0
AARS	0.083053	0.99645	top3	NOT	0	0
AARS2	-0.12502	0.94156	top3	NOT	0	0
AARSD1	-0.044034	0.99645	top3	NOT	0	0
AASDH	-0.018949	0.99889	top3	NOT	0	0
AASDHPPT	-0.039013	0.99645	top3	NOT	0	0
AASS	0.06265	0.99645	top3	NOT	0	0
AATF	0.23267	0.65635	top3	NOT	0	0
AATK	0.015048	0.99931	top3	NOT	0	0
ABAT	-0.060712	0.99645	top3	NOT	0	0
ABCA1	-0.084744	0.99529	top3	NOT	0	0
ABCA10	0.087332	0.99645	top3	NOT	0	0
ABCA12	-0.23899	0.61833	top3	NOT	0	0
ABCA13	-0.17132	0.83655	top3	NOT	0	0
ABCA2	0.050513	0.99645	top3	NOT	0	0
ABCA3	-0.030508	0.99645	top3	NOT	0	0
ABCA4	0.043984	0.99687	top3	NOT	0	0
ABCA5	0.0048442	0.99943	top3	NOT	0	0
ABCA6	-0.030399	0.99645	top3	NOT	0	0
ABCA7	0.003097	0.99931	top3	NOT	0	0
ABCA8	-0.084289	0.99631	top3	NOT	0	0
ABCA9	0.047073	0.99645	top3	NOT	0	0
ABCB1	0.047756	0.99645	top3	NOT	0	0
ABCB10	0.0034233	0.99931	top3	NOT	0	0
ABCB11	0.14374	0.9357	top3	NOT	0	0
ABCB4	0.011028	0.99967	top3	NOT	0	0
ABCB5	-0.048413	0.99645	top3	NOT	0	0
ABCB6	0.060308	0.99645	top3	NOT	0	0
ABCB7	-0.35575	0.27245	top3	NOT	0	0
ABCB8	-0.017529	0.99889	top3	NOT	0	0
ABCB9	-0.07625	0.99645	top3	NOT	0	0
ABCC1	0.22241	0.70038	top3	NOT	0	0
ABCC10	-0.1833	0.80228	top3	NOT	0	0
ABCC11	0.19723	0.78663	top3	NOT	0	0
ABCC12	0.028248	0.99889	top3	NOT	0	0
ABCC2	0.17202	0.85997	top3	NOT	0	0
ABCC3	0.047338	0.99645	top3	NOT	0	0
ABCC4	0.027574	0.99902	top3	NOT	0	0
ABCC5	-0.0046296	0.99931	top3	NOT	0	0
ABCC6	-0.24095	0.6166	top3	NOT	0	0
ABCC8	0.006331	0.99967	top3	NOT	0	0
ABCC9	0.18498	0.82335	top3	NOT	0	0
ABCD1	-0.076883	0.99645	top3	NOT	0	0
ABCD2	-0.094135	0.98325	top3	NOT	0	0
ABCD3	0.035409	0.99889	top3	NOT	0	0
ABCD4	-0.24904	0.596	top3	NOT	0	0
ABCE1	0.071611	0.99645	top3	NOT	0	0
ABCF1	-0.20512	0.7426	top3	NOT	0	0
ABCF2	0.13589	0.94982	top3	NOT	0	0
ABCF3	0.21629	0.72727	top3	NOT	0	0
ABCG1	-0.044077	0.99645	top3	NOT	0	0
ABCG2	0.018848	0.99931	top3	NOT	0	0
ABCG4	0.061806	0.99645	top3	NOT	0	0
ABCG5	-0.11138	0.9658	top3	NOT	0	0
ABCG8	0.34509	0.30548	top3	NOT	0	0
ABHD1	0.082807	0.99645	top3	NOT	0	0
ABHD10	-0.0030271	0.99931	top3	NOT	0	0
ABHD11	-0.08214	0.99645	top3	NOT	0	0
ABHD12	0.019508	0.99931	top3	NOT	0	0
ABHD12B	-0.13634	0.91165	top3	NOT	0	0
ABHD13	0.20943	0.74644	top3	NOT	0	0
ABHD14A	0.029074	0.99889	top3	NOT	0	0
ABHD14B	0.080098	0.99645	top3	NOT	0	0
ABHD15	-0.0014079	0.99931	top3	NOT	0	0
ABHD16A	-0.028812	0.99687	top3	NOT	0	0
ABHD16B	0.057939	0.99645	top3	NOT	0	0
ABHD17A	0.21696	0.71944	top3	NOT	0	0
ABHD17B	-0.13682	0.91165	top3	NOT	0	0
ABHD17C	-0.0064148	0.99931	top3	NOT	0	0
ABHD2	0.04907	0.99645	top3	NOT	0	0
ABHD3	0.0047398	0.99943	top3	NOT	0	0
