Gene	beta	fdr	dataset	hit_class	direction	unique_hit	hit_range
ABL1	-1.0447	0	top3	all	DOWN	0	top_hit
AK6	-0.56317	0.071429	top3	all	DOWN	0	low_hit
ALG2	0.49942	0.076923	top3	all	UP	0	low_hit
ATP5D	0.54762	0.075269	top3	all	UP	0	low_hit
AURKB	0.63208	0.068182	top3	all	UP	0	low_hit
C8orf59	0.65551	0.04878	top3	all	UP	0	low_hit
CCNK	-0.78768	0.026316	top3	all	DOWN	0	low_hit
CD58	0.72332	0.026316	top3	all	UP	0	low_hit
CDC5L	-0.63461	0.071429	top3	all	DOWN	0	low_hit
CHEK1	0.96797	0	top3	all	UP	0	top_hit
CMTM6	0.97069	0	top3	all	UP	0	top_hit
COPS2	0.54723	0.075269	top3	all	UP	0	low_hit
COPS5	0.70235	0.026316	top3	all	UP	0	low_hit
DDX49	-0.45936	0.090226	top3	all	DOWN	0	low_hit
DHX16	-0.83572	0.026316	top3	all	DOWN	0	low_hit
DPAGT1	0.54342	0.075269	top3	all	UP	0	low_hit
EIF3F	-0.56027	0.071429	top3	all	DOWN	0	low_hit
EIF4E	-1.0143	0	top3	all	DOWN	0	top_hit
GALE	-1.2708	0	top3	all	DOWN	0	top_hit
GLMN	0.54328	0.075269	top3	all	UP	0	low_hit
GNE	-0.52641	0.071429	top3	all	DOWN	0	low_hit
HDAC3	0.5175	0.076923	top3	all	UP	0	low_hit
HSPE1	-0.76645	0.076923	top3	all	DOWN	0	low_hit
ICAM1	1.3326	0	top3	all	UP	0	top_hit
LIPT1	-0.53555	0.071429	top3	all	DOWN	0	low_hit
MAP1LC3B2	-1.1583	0.04878	top3	all	DOWN	0	low_hit
MCU	-0.63883	0.071429	top3	all	DOWN	0	low_hit
MRPS16	-0.44575	0.093525	top3	all	DOWN	0	low_hit
MRPS35	-0.80624	0.026316	top3	all	DOWN	0	low_hit
MTHFD1	-0.59641	0.071429	top3	all	DOWN	0	low_hit
MYADM	0.72691	0.026316	top3	all	UP	0	low_hit
NANS	-0.56807	0.071429	top3	all	DOWN	0	low_hit
NCR3LG1	0.94381	0	top3	all	UP	0	top_hit
NEDD8	0.84852	0.026316	top3	all	UP	0	low_hit
