Gene	beta	fdr	dataset	hit_class	direction	unique_hit
ABL1	-1.0447	0	top3	all	DOWN	0
AK6	-0.56317	0.071429	top3	all	DOWN	0
ALG2	0.49942	0.076923	top3	all	UP	0
ATP5D	0.54762	0.075269	top3	all	UP	0
ATP5J2	-0.64316	0.071429	top3	other	DOWN	0
AURKB	0.63208	0.068182	top3	all	UP	0
BCAS2	0.54815	0.075269	top3	other	UP	0
BRD4	0.547	0.075269	top3	other	UP	0
BUB3	-0.47247	0.076923	top3	top3	DOWN	1
C14orf28	-0.53567	0.071429	top3	other	DOWN	0
C8orf59	0.65551	0.04878	top3	all	UP	0
CCNK	-0.78768	0.026316	top3	all	DOWN	0
CD58	0.72332	0.026316	top3	all	UP	0
CDC5L	-0.63461	0.071429	top3	all	DOWN	0
CDK8	-0.48135	0.076923	top3	other	DOWN	0
CHEK1	0.96797	0	top3	all	UP	0
CLP1	-0.55187	0.071429	top3	top3	DOWN	1
CMTM6	0.97069	0	top3	all	UP	0
COPS2	0.54723	0.075269	top3	all	UP	0
COPS5	0.70235	0.026316	top3	all	UP	0
COX17	-0.50244	0.076923	top3	top3	DOWN	1
CPSF3L	-0.48168	0.076923	top3	top3	DOWN	1
DARS	0.8263	0.026316	top3	top3	UP	1
DDX27	-0.6072	0.071429	top3	top3	DOWN	1
DDX49	-0.45936	0.090226	top3	all	DOWN	0
DHFR	-0.56441	0.071429	top3	other	DOWN	0
DHX16	-0.83572	0.026316	top3	all	DOWN	0
DPAGT1	0.54342	0.075269	top3	all	UP	0
EFTUD1	0.57993	0.071429	top3	other	UP	0
EIF3F	-0.56027	0.071429	top3	all	DOWN	0
EIF4E	-1.0143	0	top3	all	DOWN	0
ERH	0.50783	0.076923	top3	top3	UP	1
FAM133A	-0.47177	0.076923	top3	other	DOWN	0
GALE	-1.2708	0	top3	all	DOWN	0
GLMN	0.54328	0.075269	top3	all	UP	0
GNE	-0.52641	0.071429	top3	all	DOWN	0
HDAC3	0.5175	0.076923	top3	all	UP	0
HSPE1	-0.76645	0.076923	top3	all	DOWN	0
ICAM1	1.3326	0	top3	all	UP	0
ILF2	-0.86455	0	top3	top3	DOWN	1
JTB	-0.49654	0.076923	top3	top3	DOWN	1
KAT8	0.59747	0.071429	top3	top3	UP	1
KPNB1	0.59727	0.071429	top3	other	UP	0
LEO1	0.49052	0.076923	top3	other	UP	0
