Gene	hit_class	direction
ALG2	all	UP
ATP5D	all	UP
AURKB	all	UP
C8orf59	all	UP
CD58	all	UP
CHEK1	all	UP
CMTM6	all	UP
COPS2	all	UP
COPS5	all	UP
DPAGT1	all	UP
GLMN	all	UP
HDAC3	all	UP
ICAM1	all	UP
MYADM	all	UP
NCR3LG1	all	UP
NEDD8	all	UP
NHLRC2	all	UP
NUP133	all	UP
PDS5A	all	UP
PGAM4	all	UP
PIK3C3	all	UP
PIK3CA	all	UP
PRPF8	all	UP
PSMB5	all	UP
SSBP1	all	UP
TARDBP	all	UP
VPS35	all	UP
BCAS2	other	UP
BRD4	other	UP
CENPI	other	UP
DOLK	other	UP
DTYMK	other	UP
EFTUD1	other	UP
HSPA13	other	UP
KPNB1	other	UP
LEO1	other	UP
MAT2A	other	UP
NCOR1	other	UP
NSMCE1	other	UP
NUBP1	other	UP
ORC4	other	UP
PBX2	other	UP
PDIA3	other	UP
POLR3A	other	UP
PPP1CB	other	UP
PSMA2	other	UP
PSMD13	other	UP
RAP1B	other	UP
RNASEH2A	other	UP
RPL11	other	UP
RPS4X	other	UP
RRP9	other	UP
SF3A2	other	UP
SNW1	other	UP
TAF2	other	UP
TSTA3	other	UP
TUFM	other	UP
UXT	other	UP
WDR5	other	UP
XPO1	other	UP
XRCC3	other	UP
ZMYND8	other	UP
ALG11	top5	UP
ANKRD11	top5	UP
ATP13A1	top5	UP
ATP2B1	top5	UP
CARM1	top5	UP
CCT7	top5	UP
CENPA	top5	UP
CETN3	top5	UP
CHAF1B	top5	UP
CRKL	top5	UP
CTU1	top5	UP
DARS	top3	UP
DENND1A	top5	UP
DFFA	top5	UP
DGCR2	top5	UP
DOHH	top5	UP
EPC2	top5	UP
ERH	top3	UP
EXOC7	top5	UP
EXOSC2	top5	UP
GMPS	top5	UP
GPS1	top5	UP
GSE1	top5	UP
KAT8	top3	UP
LIN52	top5	UP
MNAT1	top5	UP
MRPL17	top5	UP
MRPL51	top5	UP
MRPS5	top3	UP
MYB	top4	UP
NCBP2	top5	UP
NELFCD	top3	UP
NFU1	top5	UP
NHP2L1	top5	UP
NOL10	top3	UP
NR2F2	top5	UP
NUF2	top3	UP
OXSM	top5	UP
PAF1	top5	UP
PCYT2	top5	UP
PHB2	top3	UP
PIGB	top5	UP
PPP2R3C	top5	UP
PRKRA	top5	UP
PSMA5	top5	UP
PSMC4	top5	UP
PTPN1	top5	UP
PYROXD1	top5	UP
RCL1	top3	UP
RFC3	top4	UP
RFC5	top5	UP
RFT1	top5	UP
RPL23	top5	UP
RRM1	top3	UP
SEC11A	top5	UP
SLC25A26	top5	UP
SMARCA5	top3	UP
SNRPF	top4	UP
SPC25	top5	UP
SPCS2	top5	UP
SPCS3	top5	UP
SSU72	top5	UP
SUZ12	top5	UP
TAF6	top5	UP
TAF7	top3	UP
TCEAL7	top5	UP
TELO2	top5	UP
TFAP4	top5	UP
THAP5	top3	UP
TIMM23	top5	UP
TOP3B	top5	UP
TWISTNB	top5	UP
USP48	top5	UP
VPS51	top3	UP
VPS53	top5	UP
YARS	top5	UP
YRDC	top3	UP
ZNF131	top4	UP
ZNHIT2	top5	UP
ABL1	all	DOWN
AK6	all	DOWN
CCNK	all	DOWN
CDC5L	all	DOWN
DDX49	all	DOWN
DHX16	all	DOWN
EIF3F	all	DOWN
EIF4E	all	DOWN
GALE	all	DOWN
GNE	all	DOWN
HSPE1	all	DOWN
LIPT1	all	DOWN
MAP1LC3B2	all	DOWN
MCU	all	DOWN
