Gene	top3	top4	top5	hit_count	hit_class	direction
ALG2	1	1	1	3	all	UP
ATP5D	1	1	1	3	all	UP
AURKB	1	1	1	3	all	UP
C8orf59	1	1	1	3	all	UP
CD58	1	1	1	3	all	UP
CHEK1	1	1	1	3	all	UP
CMTM6	1	1	1	3	all	UP
COPS2	1	1	1	3	all	UP
COPS5	1	1	1	3	all	UP
DPAGT1	1	1	1	3	all	UP
GLMN	1	1	1	3	all	UP
HDAC3	1	1	1	3	all	UP
ICAM1	1	1	1	3	all	UP
MYADM	1	1	1	3	all	UP
NCR3LG1	1	1	1	3	all	UP
NEDD8	1	1	1	3	all	UP
NHLRC2	1	1	1	3	all	UP
NUP133	1	1	1	3	all	UP
PDS5A	1	1	1	3	all	UP
PGAM4	1	1	1	3	all	UP
PIK3C3	1	1	1	3	all	UP
PIK3CA	1	1	1	3	all	UP
PRPF8	1	1	1	3	all	UP
PSMB5	1	1	1	3	all	UP
SSBP1	1	1	1	3	all	UP
TARDBP	1	1	1	3	all	UP
VPS35	1	1	1	3	all	UP
BCAS2	1	1	0	2	other	UP
BRD4	1	0	1	2	other	UP
CENPI	0	1	1	2	other	UP
DOLK	0	1	1	2	other	UP
DTYMK	0	1	1	2	other	UP
EFTUD1	1	0	1	2	other	UP
HSPA13	0	1	1	2	other	UP
KPNB1	1	0	1	2	other	UP
LEO1	1	0	1	2	other	UP
MAT2A	0	1	1	2	other	UP
NCOR1	1	0	1	2	other	UP
NSMCE1	0	1	1	2	other	UP
NUBP1	0	1	1	2	other	UP
ORC4	0	1	1	2	other	UP
PBX2	1	0	1	2	other	UP
PDIA3	0	1	1	2	other	UP
POLR3A	0	1	1	2	other	UP
PPP1CB	0	1	1	2	other	UP
PSMA2	1	0	1	2	other	UP
PSMD13	1	0	1	2	other	UP
RAP1B	1	1	0	2	other	UP
RNASEH2A	0	1	1	2	other	UP
RPL11	1	1	0	2	other	UP
RPS4X	0	1	1	2	other	UP
RRP9	1	1	0	2	other	UP
SF3A2	0	1	1	2	other	UP
SNW1	0	1	1	2	other	UP
TAF2	0	1	1	2	other	UP
TSTA3	0	1	1	2	other	UP
TUFM	0	1	1	2	other	UP
UXT	1	0	1	2	other	UP
WDR5	1	0	1	2	other	UP
XPO1	1	0	1	2	other	UP
XRCC3	0	1	1	2	other	UP
ZMYND8	0	1	1	2	other	UP
ALG11	0	0	1	1	top5	UP
ANKRD11	0	0	1	1	top5	UP
ATP13A1	0	0	1	1	top5	UP
ATP2B1	0	0	1	1	top5	UP
CARM1	0	0	1	1	top5	UP
CCT7	0	0	1	1	top5	UP
CENPA	0	0	1	1	top5	UP
CETN3	0	0	1	1	top5	UP
CHAF1B	0	0	1	1	top5	UP
CRKL	0	0	1	1	top5	UP
CTU1	0	0	1	1	top5	UP
DARS	1	0	0	1	top3	UP
DENND1A	0	0	1	1	top5	UP
DFFA	0	0	1	1	top5	UP
DGCR2	0	0	1	1	top5	UP
DOHH	0	0	1	1	top5	UP
EPC2	0	0	1	1	top5	UP
ERH	1	0	0	1	top3	UP
EXOC7	0	0	1	1	top5	UP
EXOSC2	0	0	1	1	top5	UP
GMPS	0	0	1	1	top5	UP
GPS1	0	0	1	1	top5	UP
GSE1	0	0	1	1	top5	UP
KAT8	1	0	0	1	top3	UP
LIN52	0	0	1	1	top5	UP
MNAT1	0	0	1	1	top5	UP
MRPL17	0	0	1	1	top5	UP
MRPL51	0	0	1	1	top5	UP
MRPS5	1	0	0	1	top3	UP
MYB	0	1	0	1	top4	UP
NCBP2	0	0	1	1	top5	UP
NELFCD	1	0	0	1	top3	UP
NFU1	0	0	1	1	top5	UP
NHP2L1	0	0	1	1	top5	UP
NOL10	1	0	0	1	top3	UP
NR2F2	0	0	1	1	top5	UP
NUF2	1	0	0	1	top3	UP
OXSM	0	0	1	1	top5	UP
PAF1	0	0	1	1	top5	UP
PCYT2	0	0	1	1	top5	UP
PHB2	1	0	0	1	top3	UP
PIGB	0	0	1	1	top5	UP
PPP2R3C	0	0	1	1	top5	UP
PRKRA	0	0	1	1	top5	UP
PSMA5	0	0	1	1	top5	UP
PSMC4	0	0	1	1	top5	UP
PTPN1	0	0	1	1	top5	UP
PYROXD1	0	0	1	1	top5	UP
RCL1	1	0	0	1	top3	UP
RFC3	0	1	0	1	top4	UP
RFC5	0	0	1	1	top5	UP
RFT1	0	0	1	1	top5	UP
RPL23	0	0	1	1	top5	UP
RRM1	1	0	0	1	top3	UP
SEC11A	0	0	1	1	top5	UP
SLC25A26	0	0	1	1	top5	UP
SMARCA5	1	0	0	1	top3	UP
SNRPF	0	1	0	1	top4	UP
SPC25	0	0	1	1	top5	UP
SPCS2	0	0	1	1	top5	UP
SPCS3	0	0	1	1	top5	UP
SSU72	0	0	1	1	top5	UP
SUZ12	0	0	1	1	top5	UP
TAF6	0	0	1	1	top5	UP
TAF7	1	0	0	1	top3	UP
TCEAL7	0	0	1	1	top5	UP
TELO2	0	0	1	1	top5	UP
TFAP4	0	0	1	1	top5	UP
THAP5	1	0	0	1	top3	UP
TIMM23	0	0	1	1	top5	UP
TOP3B	0	0	1	1	top5	UP
TWISTNB	0	0	1	1	top5	UP
USP48	0	0	1	1	top5	UP
VPS51	1	0	0	1	top3	UP
VPS53	0	0	1	1	top5	UP
YARS	0	0	1	1	top5	UP
YRDC	1	0	0	1	top3	UP
ZNF131	0	1	0	1	top4	UP
ZNHIT2	0	0	1	1	top5	UP
ABL1	1	1	1	3	all	DOWN
AK6	1	1	1	3	all	DOWN
CCNK	1	1	1	3	all	DOWN
CDC5L	1	1	1	3	all	DOWN
DDX49	1	1	1	3	all	DOWN
DHX16	1	1	1	3	all	DOWN
EIF3F	1	1	1	3	all	DOWN
EIF4E	1	1	1	3	all	DOWN
GALE	1	1	1	3	all	DOWN
GNE	1	1	1	3	all	DOWN
HSPE1	1	1	1	3	all	DOWN
LIPT1	1	1	1	3	all	DOWN
MAP1LC3B2	1	1	1	3	all	DOWN
MCU	1	1	1	3	all	DOWN
MRPS16	1	1	1	3	all	DOWN
MRPS35	1	1	1	3	all	DOWN
MTHFD1	1	1	1	3	all	DOWN
NANS	1	1	1	3	all	DOWN
ORC2	1	1	1	3	all	DOWN
PELO	1	1	1	3	all	DOWN
POLE2	1	1	1	3	all	DOWN
POLR2K	1	1	1	3	all	DOWN
PPAN	1	1	1	3	all	DOWN
PREB	1	1	1	3	all	DOWN
